	2161	232	2008-12-01 20:00:00	3686	7	A Christmas Carol
247	2182	97	2008-12-22           19:30:00	6494	music	Duffy
248	2182	35	2008-12-22           19:30:00	4400	music	Daughtry
249	2182	37	2008-12-22           14:00:00	6146	music	Travis Tritt
250	2182	113	2008-12-22           14:00:00	6178	music	Cake
251	2182	89	2008-12-22           19:30:00	8506	music	Flogging Molly
252	2182	303	2008-12-22           15:00:00	365	opera	La Traviata
253	2182	305	2008-12-22           19:30:00	87	opera	Carmen
254	2182	125	2008-12-22           14:00:00	4531	music	Umphreys McGee
255	2182	247	2008-12-22           14:00:00	1453	musical	Billy Elliot the Musical
256	2182	228	2008-12-22           19:30:00	2206	theatre	Uncle Vanya
257	2182	60	2008-12-22           15:00:00	5324	music	Etta James
258	2182	30	2008-12-22           14:00:00	5548	music	Vince Gill
259	2182	99	2008-12-22           19:00:00	5552	music	Emmylou Harris
260	2182	92	2008-12-22           19:30:00	6023	music	Blues Brothers
261	2182	238	2008-12-22           19:30:00	2382	theatre	Scrooge
262	2182	227	2008-12-22           14:30:00	1817	theatre	A Doll's House
263	2183	32	2008-12-23           15:00:00	8305	music	Aretha Franklin
264	2183	225	2008-12-23           15:00:00	3629	theatre	Endgame
265	2183	253	2008-12-23           15:00:00	1521	musical	Legally Blonde
266	2183	212	2008-12-23           19:00:00	3358	theatre	Endgame
267	2183	73	2008-12-23           14:00:00	8729	music	Ray Davies
268	2183	249	2008-12-23           19:00:00	1295	musical	Shrek the Musical
269	2183	116	2008-12-23           19:00:00	8620	music	Susan Tedeschi
270	2183	90	2008-12-23           19:00:00	7244	music	Vicente Fernandez
271	2184	11	2008-12-24           19:30:00	8287	music	Mos Def
272	2184	110		7195	music	O.A.R.
273	2184	218	2008-12-24           14:00:00	1028	musical	Mamma Mia!
274	2184	99	2008-12-24           15:00:00	5531	music	Black Kids
275	2184	222	2008-12-24           19:00:00	3681	theatre	A Streetcar Named Desire
276	2184	208	2008-12-24           19:00:00	1019	musical	High School Musical
277	2184	66	2008-12-24           19:30:00	4031	music	Simple Plan
278	2184	230	2008-12-24           19:00:00	807	musical	Shrek the Musical
279	2184	110	2008-12-24           14:00:00	4363	music	Spoon
280	2185	63	2008-12-25           19:30:00	7504	music	Ani DiFranco
281	2185	79	2008-12-25           15:00:00	4019	music	U2
282	2185	116	2008-12-25           19:00:00	6531	music	Creedence Clearwater Revisited
283	2185	201	2008-12-25           19:00:00	1418	musical	The Phantom of the Opera
284	2185	242	2008-12-25           14:00:00	2696	theatre	The Country Girl
285	2185	106		4256	music	Sarah Brightman
286	2185	50	2008-12-25           19:00:00	7989	music	Green Day
287	2185	70	2008-12-25           15:00:00	5070	music	.38 Special
288	2185	218	2008-12-25           19:00:00	3175	theatre	A Streetcar Named Desire
289	2185	234	2008-12-25           15:00:00	2151	theatre	The Seagull
290	2186	56	2008-12-26           15:00:00	4675	music	Sugarland
291	2186	95	2008-12-26           15:00:00	8754	music	Kansas
292	2186	26	2008-12-26           19:30:00	7274	music	Fleet Foxes
293	2186	217	2008-12-26           14:00:00	1403	musical	Dirty Dancing
294	2186	228	2008-12-26           15:00:00	3372	theatre	Julius Caesar
295	2186	95	2008-12-26           14:00:00	5478	music	Yaz
296	2186	100	2008-12-26           14:00:00	5481	music	Smokey Robinson
297	2186	62	2008-12-26           19:30:00	6951	music	Fleet Foxes
298	2186	12	2008-12-26           14:00:00	6668	music	REO Speedwagon
299	2186	229	2008-12-26           15:00:00	2170	theatre	Our Town
300	2187	301	2008-12-27           19:00:00	187	opera	Salome
301	2187	202	2008-12-27           14:00:00	3601	theatre	Passing Strange
302	2187	70		5504	music	Patty Griffin
303	2187	85	2008-12-27           15:00:00	5550	music	Smashing Pumpkins
304	2187	251	2008-12-27           14:30:00	1561	musical	Spamalot
305	2187	8	2008-12-27           15:00:00	5284	music	Linda Eder
306	2187	209	2008-12-27           14:00:00	3215	theatre	The 39 Steps
307	2187	305	2008-12-27           15:00:00	349	opera	Orfeo ed Euridice
308	2187	120	2008-12-27           19:30:00	4315	music	Jimmy Buffett
309	2187	100	2008-12-27           14:00:00	8262	music	Cher
310	2187	211	2008-12-27           14:30:00	3260	theatre	A Midsummer Night's Dream
311	2187	39	2008-12-27           15:00:00	4322	music	Elton John
312	2187	111	2008-12-27           15:00:00	5630	music	Crosby Stills Nash
313	2187	99	2008-12-27           15:00:00	6979	music	Gordon Lightfoot
314	2187	307	2008-12-27           19:30:00	74	opera	Il Trovatore
315	2187	234	2008-12-27           14:30:00	3417	theatre	The Caucasian Chalk Circle
316	2188	30	2008-12-28           19:30:00	5730	music	Bryan Adams
317	2188	1	2008-12-28           19:30:00	5400	music	Engelbert Humperdinck
318	2188	11	2008-12-28           14:00:00	3873	music	Avril Lavigne
319	2188	252	2008-12-28           19:00:00	1712	musical	Mamma Mia!
320	2188	68	2008-12-28           19:30:00	6967	music	Live
321	2188	217	2008-12-28           14:00:00	3169	theatre	Waiting for Godot
322	2188	209	2008-12-28           19:30:00	1451	musical	The King and I
323	2188	257	2008-12-28           20:00:00	1647	musical	Spamalot
324	2188	10	2008-12-28           14:00:00	6976	music	Govt Mule
325	2188	11	2008-12-28           14:30:00	4056	music	Conor Oberst
326	2188	248	2008-12-28           20:00:00	2290	theatre	Julius Caesar
327	2188	207	2008-12-28           20:00:00	2291	theatre	Rock 'n' Roll
328	2188	201	2008-12-28           15:00:00	1824	theatre	Young Frankenstein
329	2188	105	2008-12-28           14:00:00	5145	music	Snoop Dogg
330	2189	104	2008-12-29           19:00:00	6340	music	Dj Tiesto
331	2189	232	2008-12-29           15:00:00	2431	theatre	Rock 'n' Roll
332	2189	9	2008-12-29           19:30:00	5528	music	Brad Paisley
333	2189	233	2008-12-29           19:30:00	2158	theatre	Glengarry Glen Ross
334	2189	253	2008-12-29           19:30:00	1730	musical	Zumanity
335	2189	226	2008-12-29           19:00:00	2442	theatre	The Caretaker
336	2189	93	2008-12-29           19:30:00	6069	music	Patty Griffin
337	2189	41	2008-12-29           19:00:00	7344	music	Buckcherry
338	2189	76	2008-12-29           15:00:00	6403	music	Kenny Wayne Shepherd
339	2189	87	2008-12-29           15:00:00	4847	music	John Fogerty
340	2190	35	2008-12-30           19:00:00	5343	music	Tina Turner
341	2190	244	2008-12-30           15:00:00	2947	theatre	Waiting for Godot
342	2190	223	2008-12-30           20:00:00	3331	theatre	Young Frankenstein
343	2190	23	2008-12-30           19:00:00	8645	music	U2
344	2190	50	2008-12-30           15:00:00	4606	music	Randy Owen
345	2190	101	2008-12-30           19:30:00	7547	music	Smashing Pumpkins
346	2190	242	2008-12-30           20:00:00	2930	theatre	Spring Awakening
347	2190	86	2008-12-30           19:30:00	6402	music	Jill Scott
348	2191	206	2008-12-31           19:00:00	3665	theatre	Thurgood
349	2191	33	2008-12-31           19:00:00	5099	music	Cute Is What We Aim For
350	2191	202	2008-12-31           15:00:00	2667	theatre	Woyzeck
351	2191	42	2008-12-31           19:30:00	8372	music	Toadies
352	2191	130	2008-12-31           14:00:00	8027	music	Emmylou Harris
353	2191	62	2008-12-31           14:00:00	6652	music	Jack Johnson
354	2191	28	2008-12-31           19:00:00	7604	music	Patty Griffin
355	2191	224	2008-12-31           20:00:00	1972	theatre	The Cherry Orchard
356	2191	256	2008-12-31           14:30:00	1594	musical	Blue Man Group
357	2191	235	2008-12-31           19:30:00	3059	theatre	A Tale of Two Cities
358	2191	246	2008-12-31           19:30:00	1042	musical	White Christmas
359	2191	42	2008-12-31           14:00:00	3941	music	Joe Satriani
